pair,date,high,low,open,close,volume
USDT_BTC,0,36000.05,35999.96,36000.00,36000.00,82385049
USDT_BTC,3600,36000.04,36000.01,36000.03,36000.02,140865682
USDT_BTC,7200,36000.02,36000.03,36000.01,36000.02,56108347
USDT_BTC,10800,35999.98,36000.01,35999.98,35999.99,64807927
USDT_BTC,14400,36000.00,36000.12,35999.98,36000.06,194267945
USDT_BTC,18000,35999.98,35999.92,35999.97,35999.95,94789910
USDT_BTC,21600,35999.99,36000.12,36000.00,36000.05,120395790
USDT_BTC,25200,36000.01,36000.02,36000.01,36000.02,101354418
USDT_BTC,28800,36000.08,36000.05,36000.06,36000.06,161469493
USDT_BTC,32400,36000.04,36000.04,36000.05,36000.04,241221908
USDT_BTC,36000,36000.05,36000.05,36000.08,36000.05,67544811
USDT_BTC,39600,36000.07,36000.03,36000.08,36000.05,90577753
USDT_BTC,43200,36000.02,35999.92,36000.04,35999.97,233247794
USDT_BTC,46800,36000.03,36000.09,36000.03,36000.06,150997198
USDT_BTC,50400,36000.02,35999.95,36000.05,35999.99,121536759
USDT_BTC,54000,36000.03,36000.02,36000.08,36000.03,79609799
USDT_BTC,57600,36000.06,36000.17,36000.04,36000.11,173985209
USDT_BTC,61200,36000.02,35999.93,36000.02,35999.97,234815241
USDT_BTC,64800,36000.05,35999.97,36000.04,36000.01,141432995
USDT_BTC,68400,36000.03,35999.99,36000.04,36000.01,161878433
USDT_BTC,72000,36000.03,35999.83,36000.02,35999.93,206099320
USDT_BTC,75600,36000.04,35999.90,36000.04,35999.97,125225901
USDT_BTC,79200,36000.09,36000.10,36000.06,36000.10,198181225
USDT_BTC,82800,36000.09,36000.03,36000.08,36000.06,193597407
USDT_BTC,86400,36000.10,35999.88,36000.06,35999.99,221890996
USDT_BTC,90000,36000.06,36000.06,36000.07,36000.06,217181766
USDT_BTC,93600,36000.03,36000.21,36000.06,36000.12,180681784
USDT_BTC,97200,36000.06,36000.19,36000.08,36000.13,126347241
USDT_BTC,100800,36000.08,36000.18,36000.09,36000.13,248606358
USDT_BTC,104400,36000.06,36000.09,36000.10,36000.08,166925750
USDT_BTC,108000,36000.17,36000.11,36000.14,36000.14,240093459
USDT_BTC,111600,36000.15,36000.42,36000.14,36000.28,201551324
USDT_BTC,115200,36000.22,36000.25,36000.17,36000.23,192645655
USDT_BTC,118800,36000.17,36000.14,36000.15,36000.16,97814449
USDT_BTC,122400,36000.15,36000.20,36000.15,36000.17,193866772
USDT_BTC,126000,36000.16,36000.18,36000.18,36000.17,182412326
USDT_BTC,129600,36000.22,35999.96,36000.19,36000.09,237000688
USDT_BTC,133200,36000.21,36000.21,36000.20,36000.21,112144723
USDT_BTC,136800,36000.20,36000.31,36000.18,36000.25,150897468
USDT_BTC,140400,36000.20,36000.38,36000.21,36000.29,55482695
USDT_BTC,144000,36000.18,36000.22,36000.19,36000.20,181591704
USDT_BTC,147600,36000.24,36000.11,36000.22,36000.17,175787048
USDT_BTC,151200,36000.20,35999.99,36000.18,36000.10,229351139
USDT_BTC,154800,36000.19,36000.08,36000.18,36000.13,112745912
USDT_BTC,158400,36000.20,36000.21,36000.19,36000.21,77575192
USDT_BTC,162000,36000.16,36000.21,36000.20,36000.19,147058770
USDT_BTC,165600,36000.21,36000.25,36000.20,36000.23,52512364
USDT_BTC,169200,36000.22,36000.09,36000.21,36000.16,191263897
USDT_BTC,172800,36000.17,36000.08,36000.19,36000.12,132408598
USDT_BTC,176400,36000.18,36000.12,36000.16,36000.15,201384992
USDT_BTC,180000,36000.22,36000.18,36000.18,36000.20,111023594
USDT_BTC,183600,36000.18,36000.07,36000.18,36000.12,135688601
USDT_BTC,187200,36000.14,36000.13,36000.16,36000.14,78329097
USDT_BTC,190800,36000.18,36000.20,36000.16,36000.19,239442839
USDT_BTC,194400,36000.20,36000.24,36000.17,36000.22,196321282
USDT_BTC,198000,36000.14,36000.06,36000.15,36000.10,239983896
USDT_BTC,201600,36000.12,36000.05,36000.13,36000.09,175100902
USDT_BTC,205200,36000.15,36000.17,36000.12,36000.16,69394768
USDT_BTC,208800,36000.15,36000.09,36000.14,36000.12,51901289
USDT_BTC,212400,36000.17,36000.39,36000.17,36000.28,138076012
USDT_BTC,216000,36000.20,36000.09,36000.18,36000.14,205579517
USDT_BTC,219600,36000.22,36000.29,36000.20,36000.26,53049340
USDT_BTC,223200,36000.19,36000.06,36000.18,36000.12,178952832
USDT_BTC,226800,36000.18,36000.21,36000.15,36000.20,82022966
USDT_BTC,230400,36000.13,36000.02,36000.15,36000.07,114348480
USDT_BTC,234000,36000.16,36000.10,36000.15,36000.13,107118657
USDT_BTC,237600,36000.13,36000.31,36000.13,36000.22,189105113
USDT_BTC,241200,36000.11,36000.14,36000.10,36000.12,166324730
USDT_BTC,244800,36000.06,36000.10,36000.08,36000.08,206883883
USDT_BTC,248400,36000.09,36000.24,36000.09,36000.17,186889026
USDT_BTC,252000,36000.12,36000.12,36000.13,36000.12,112105807
USDT_BTC,255600,36000.15,36000.22,36000.17,36000.19,66690431
USDT_BTC,259200,36000.19,36000.10,36000.16,36000.14,127443179
USDT_BTC,262800,36000.19,36000.28,36000.19,36000.24,73014908
USDT_BTC,266400,36000.13,36000.32,36000.16,36000.22,87623433
USDT_BTC,270000,36000.15,36000.30,36000.15,36000.22,55849501
USDT_BTC,273600,36000.13,36000.13,36000.12,36000.13,222123952
USDT_BTC,277200,36000.13,36000.19,36000.13,36000.16,158862192
USDT_BTC,280800,36000.16,36000.22,36000.14,36000.19,69216365
USDT_BTC,284400,36000.13,36000.20,36000.15,36000.16,90210727
USDT_BTC,288000,36000.21,36000.14,36000.20,36000.18,84769248
USDT_BTC,291600,36000.18,35999.97,36000.18,36000.07,124921127
USDT_BTC,295200,36000.20,36000.31,36000.18,36000.26,242200947
USDT_BTC,298800,36000.19,36000.33,36000.22,36000.26,157269383
USDT_BTC,302400,36000.17,36000.20,36000.21,36000.19,226637952
USDT_BTC,306000,36000.26,36000.19,36000.24,36000.22,95694778
USDT_BTC,309600,36000.27,36000.18,36000.24,36000.22,246075142
USDT_BTC,313200,36000.25,36000.33,36000.24,36000.29,97854500
USDT_BTC,316800,36000.22,36000.33,36000.24,36000.28,186625196
USDT_BTC,320400,36000.30,36000.32,36000.28,36000.31,101425140
USDT_BTC,324000,36000.23,36000.24,36000.26,36000.24,241736047
USDT_BTC,327600,36000.26,36000.33,36000.28,36000.30,184015701
USDT_BTC,331200,36000.33,36000.27,36000.31,36000.30,56215421
USDT_BTC,334800,36000.24,36000.31,36000.26,36000.28,159486484
USDT_BTC,338400,36000.24,36000.26,36000.27,36000.25,190919854
USDT_BTC,342000,36000.30,36000.51,36000.28,36000.41,134519137
USDT_BTC,345600,36000.31,36000.19,36000.30,36000.25,92137294
USDT_BTC,349200,36000.29,36000.23,36000.29,36000.26,106095098
USDT_BTC,352800,36000.29,36000.16,36000.27,36000.23,93933980
USDT_BTC,356400,36000.30,36000.18,36000.29,36000.24,57026683
USDT_BTC,360000,36000.25,36000.26,36000.25,36000.26,245425143
USDT_BTC,363600,36000.22,36000.20,36000.27,36000.21,79553671
USDT_BTC,367200,36000.27,36000.23,36000.25,36000.25,175114488
USDT_BTC,370800,36000.18,36000.09,36000.23,36000.14,182662408
USDT_BTC,374400,36000.18,36000.23,36000.22,36000.21,93689463
USDT_BTC,378000,36000.27,36000.21,36000.27,36000.24,208113041
USDT_BTC,381600,36000.23,36000.33,36000.24,36000.28,189401649
